1 1001  1 2.53146 0.754896 0.476637 0 0 0 0 -0.0164462 2.64863 0.553804 5.2602 1.86431  0.0260706 14026895 -1246558739 712780
1 1001  0 2.23183 1.11958 0.411585 0 0 0 0 -0.0298066 2.14208 0.553804 5.27579 1.85513  0.48823 14026895 -1246481042 712780
1 1001  0 2.6432 0.795675 0.324121 0 0 0 0 0.0586522 2.30681 0.553804 5.28435 1.86786  -0.347061 14026895 -1246334378 712780
1 1001  1 2.6399 0.824593 0.298499 0 0 0 0 -0.00966431 2.86197 0.553765 5.27763 1.85748  0.701318 14026895 -1246183349 712780
1 1001  0 0.60362 2.5935 0.565878 0 0 0 0 -0.0113934 1.73989 0.554239 5.28005 1.86006  0.199521 14026895 -1246111763 712780
1 1001  0 2.13333 0.897247 0.732415 0 0 0 0 0.0185064 3.75538 0.555521 5.28155 1.86676  0.800828 14026893 -1686871130 712780
1 1001  0 1.00046 1.36081 1.40172 0 0 0 0 -0.116593 2.14772 0.555521 5.26461 1.86288  0.373148 14026893 -1686789068 712780
1 1001  0 2.14838 0.889545 0.725075 0 0 0 0 0.0234234 2.37292 0.555521 5.2635 1.85472  0.250455 14026893 -1686731450 712780
1 1001  1 0.855657 2.39775 0.509589 0 0 0 0 -0.0776359 3.39296 0.555521 5.28208 1.86426  0.291717 14026893 -1686658118 712780
1 1001  1 0.574073 2.88023 0.308695 0 0 0 0 -0.10405 3.2997 0.555521 5.26535 1.86777  0.277819 14026893 -1686524549 712780
1 1001  1 0.855631 2.64131 0.266058 0 0 0 0 -0.00268975 1.43427 0.555521 5.27511 1.87303  0.413244 14026893 -1686491375 712780
1 1001  1 1.1429 1.55287 1.06723 0 0 0 0 -0.064974 2.68466 0.555521 5.27729 1.86939  0.2504 14026893 -1686431138 712780
1 1001  0 1.12917 2.08947 0.544346 0 0 0 0 0.00542011 1.58629 0.555521 5.2382 1.85927  0.178457 14026893 -1686196301 712780
